timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762554376.0992298,2.68537,0.06916,0.64588,-0.76573,0.70068,0.57309,276,69,19,133,39,291,116,15,248,32,34,127,202,71,21,137
1762554384.3785088,2.7183,0.06965,0.70265,-0.69536,0.68,0.64029,304,52,21,114,49,268,116,20,221,27,41,136,214,60,15,128
1762554392.6708117,2.65962,0.06818,0.58491,-0.7479,0.71861,0.6082,289,79,31,131,42,319,97,18,246,35,30,151,220,64,22,133
1762554400.9642494,2.67893,0.06931,0.61345,-0.73361,0.65831,0.67356,255,72,20,129,52,293,130,13,233,37,38,131,214,55,16,150
1762554409.2549841,2.72117,0.06957,0.64329,-0.70423,0.71963,0.65403,271,60,29,139,46,266,97,17,243,30,30,125,214,60,13,135
1762554417.5748465,2.65461,0.07186,0.63011,-0.69575,0.70439,0.62437,253,66,20,126,43,281,98,25,233,29,35,136,200,55,19,120
1762554425.860567,2.68243,0.06934,0.64344,-0.7069,0.67401,0.65808,276,69,18,125,51,298,98,17,226,37,37,154,208,62,11,146
1762554434.1380374,2.7026,0.06823,0.68952,-0.71754,0.66805,0.62749,312,55,22,107,41,281,96,21,250,47,33,152,214,68,16,153
1762554442.4160628,2.64815,0.07039,0.62553,-0.72549,0.67681,0.62031,256,65,23,126,42,273,123,21,232,37,32,126,220,71,15,147
1762554450.7121224,2.66168,0.07169,0.69261,-0.70203,0.64598,0.62105,271,54,23,153,45,270,107,21,236,40,37,122,188,55,17,120
1762554458.9897635,2.56113,0.07346,0.57631,-0.66588,0.6614,0.65753,256,78,15,90,57,265,89,14,232,51,24,136,220,64,11,143
1762554467.2887564,2.80822,0.06745,0.70577,-0.72541,0.70616,0.67089,284,59,15,145,44,312,109,23,243,28,34,117,199,48,17,131
1762554475.5715437,2.69298,0.06884,0.67742,-0.72443,0.65432,0.63682,271,53,27,145,46,296,117,20,248,52,32,154,173,60,13,156
1762554483.861659,2.85,0.06533,0.64551,-0.75342,0.73303,0.72082,269,56,25,107,45,320,128,18,247,32,27,136,242,48,13,134
1762554492.1704223,2.78156,0.06729,0.65086,-0.73523,0.70698,0.68849,262,57,24,121,45,292,134,20,226,29,34,141,236,58,11,138
1762554500.4851415,2.76946,0.06641,0.64777,-0.7377,0.70248,0.6815,275,65,22,132,45,316,108,19,267,37,35,145,225,60,8,134
1762554508.7797713,2.59683,0.07353,0.63011,-0.68,0.66744,0.61929,261,68,18,118,48,244,113,20,235,33,39,126,194,61,14,125
1762554517.0812683,2.64623,0.07108,0.59252,-0.73113,0.71359,0.60899,252,76,22,131,45,264,103,12,217,33,26,136,207,75,12,151
