datetime,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,CHSH_S_value,T_Ljubljana,T_Drnovo,T_delta,dT_Ljubljana_dt_C_per_h,dT_Drnovo_dt_C_per_h,dT_delta_dt_C_per_h
2026-07-01 16:29:08.985023975,,,,,,,0.6205124059351025,28.0,28.0,0.0,,,
2026-07-01 16:30:06.521200895,-0.2522289796882381,-0.4633620689655172,-0.0410958904109589,0.6261144898441191,0.7316810344827587,0.5205479452054794,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:30:06.521200895,,,,,,,0.427421186456158,28.0,28.0,0.0,,,
2026-07-01 16:31:03.431716919,,,,,,,0.454492918036554,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:31:03.431716919,-0.25563822027717,-0.4179431072210066,-0.0933333333333333,0.6278191101385849,0.7089715536105032,0.5466666666666666,,28.0,28.0,0.0,,,
2026-07-01 16:32:00.630167961,,,,,,,0.3438853453929149,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:32:00.630167961,-0.3056868525153956,-0.4914529914529914,-0.1199207135777998,0.6528434262576979,0.7457264957264957,0.5599603567888999,,28.0,28.0,0.0,,,
2026-07-01 16:32:57.682214022,-0.3199080923374466,-0.5066079295154186,-0.1332082551594746,0.6599540461687232,0.7533039647577092,0.5666041275797373,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:32:57.682214022,,,,,,,0.2462386020075085,28.0,28.0,0.0,,,
2026-07-01 16:33:54.560801029,-0.2954921478749084,-0.4978165938864629,-0.093167701863354,0.6477460739374543,0.7489082969432315,0.546583850931677,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:33:54.560801029,,,,,,,0.304566961503568,28.0,28.0,0.0,,,
2026-07-01 16:34:51.884713888,-0.3233609907320622,-0.5340022296544036,-0.1127197518097207,0.6616804953660311,0.7670011148272018,0.5563598759048604,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:34:51.884713888,,,,,,,0.2736485338993443,28.0,28.0,0.0,,,
2026-07-01 16:35:49.032350063,,,,,,,0.1193681829062924,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:35:49.032350063,-0.3570288565610611,-0.5894039735099338,-0.1246537396121883,0.6785144282805304,0.7947019867549668,0.5623268698060941,,28.0,28.0,0.0,,,
2026-07-01 16:36:46.242067099,,,,,,,0.1241875118156418,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:36:46.242067099,-0.3503197686260133,-0.5170068027210885,-0.1836327345309381,0.6751598843130067,0.7585034013605442,0.591816367265469,,28.0,28.0,0.0,,,
2026-07-01 16:37:43.215023041,-0.3494293239683933,-0.5223880597014925,-0.1764705882352941,0.6747146619841966,0.7611940298507462,0.5882352941176471,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:37:43.215023041,,,,,,,0.221111481317003,28.0,28.0,0.0,,,
